成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,患者,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
21 ,性別,sex,NUMBER,2,,,,,,10,,○,,,,,"1=男, 2=女",,,,,○,○,,,○,○
22 ,最新取消日,cancel_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,最古申込日,reserve_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
24 ,備考,note,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
25 ,受理フラグ,accept,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
26 ,体重,weight,NUMBER,3,,,,,,,,,,,,,,,,,,○,○,,,○,○
27 ,適合抗原数,match_num,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
28 ,検索結果整列順,result_sort,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
29 ,検索結果表示数,result_num,NUMBER,4,,,,,,,,,,,,,,,,,,○,○,,,○,○
30 ,施設ユーザID,userid,NUMBER,9,,,,,,,,,,,,,,,,,,○,○,,,○,○
31 ,HLA-Cw(1),hla_cw1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
32 ,HLA-Cw(2),hla_cw2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
33 ,HLA-DQ(1),hla_dq1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
34 ,HLA-DQ(2),hla_dq2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
35 ,A(1),a_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
36 ,A(2),a_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
37 ,B(1),b_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
38 ,B(2),b_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
39 ,C(1),c_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
40 ,C(2),c_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
41 ,DRB1(1),drb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
42 ,DRB1(2),drb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
43 ,DQB1(1),dqb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
44 ,DQB1(2),dqb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
