成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,臍帯血,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
35 ,DQB1(1),dqb1_1,NUMBER,8,,,,,,,,,,,,,×,,,,,○,○,,,○,○
36 ,DQB1(2),dqb1_2,NUMBER,8,,,,,,,,,,,,,×,,,,,○,○,,,○,○
37 ,採取年月日,collect_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
38 ,ABO血液型,blood_abo,VARCHAR2,2,,,,,,,,,,,,,"A, B, O, AB",,,,,○,○,,,○,○
39 ,Rh血液型,blood_rh,VARCHAR2,1,,,,,,,,,,,,,"+., -",,,,,○,○,,,○,○
40 ,性別,sex,NUMBER,2,,,,,,,,,,,,,"1=男, 2=女",,,,,○,○,,,○,○
41 ,分離方法,separate_method,NUMBER,2,,,,,,,,,,,,,"1=HES法, 2=Top&Bottom, 3=フィルター法",,,,,○,○,,,○,○
42 ,凍結方法,freezing_method,NUMBER,2,,,,,,,,,,,,,"1=Program Freezing, 2=簡易法",,,,,○,○,,,○,○
43 ,凍害保護液,protect_liq,VARCHAR2,40,,,,,,,,,,,kana,,,,,,,○,○,,,○,○
44 ,保存液量,preserve_vol,NUMBER,5,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
45 ,保存温度,preserve_temp,NUMBER,5,,,,,,,,,,,,,,,,,,○,○,,,○,○
46 ,有効細胞数,cell_num,NUMBER,6,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
47 ,CD34細胞数,cd34_num,NUMBER,6,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
48 ,CD34測定方法,cd34_method,VARCHAR2,40,,,,,,,,,,,kana,,,,,,,○,○,,,○,○
49 ,CFU総数,cfu_num,NUMBER,8,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
50 ,CFU-GM数,cfugm_num,NUMBER,6,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
51 ,CFU測定方法,cfugm_method,VARCHAR2,40,,,,,,,,,,,kana,,,,,,,○,○,,,○,○
52 ,CMV-IgM検査結果,cmvigm_method,NUMBER,2,,,,,,,,,,,,,"1=陰性, 2=陽性, 3=判定保留, 4=検査不能, 5=母体血CMV-lgG陰性につき検査省略",,,,,○,○,,,○,○
53 ,CMV-DNA検査結果,cmvdna_method,NUMBER,2,,,,,,,,,,,,,"1=陰性, 2=陽性, 3=判定保留, 4=検査不能, 5=母体血CMV-lgG陰性につき検査省略",,,,,○,○,,,○,○
54 ,備考,note,VARCHAR2,200,,,,,,,,,,,kana,,,,,,,○,○,,,○,○
55 ,供給年月日,supply_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
56 ,供給病院,supply_hosp,VARCHAR2,200,,,,,,,,,,,kana,,,,,,,○,○,,,○,○
57 ,移植年月日,trans_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
58 ,移植実施報告,trans_flag,NUMBER,2,,,,,,,,,,,,,1=移植実施、2=移植未実施、0=初期値,,,,,○,○,,,○,○
59 ,施設コード,hosp_code,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
60 ,赤血球率,rbc_rate,NUMBER,6,,,,,,,,,,,実数,,結果として0%が存在するため、結果無し(CSVファイル空欄)=-1としてDBに格納,,,,,○,○,,,○,○
61 ,症例番号,caseid,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
62 ,TRUMP施設コード,trump_hosp_code,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
63 ,採取時有効細胞数,harvest_cell_num,NUMBER,8,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
64 ,採取時液量,harvest_preserve_vol,NUMBER,8,,,,,,,,,,,実数,,,,,,,○,○,,,○,○
