成果物種別,,,テーブル名/シンボル名,,,,,,,,ページ,,,,作成者/更新者,,作成日/更新日,,版,,,凡例,,,,,
DBテーブル定義,,,患者追加データ,,,,,,,,1/1,,,,NIS+,,2019/5/17,,1.0 ,,,○,対象項目,,,,
20 ,生年月日,birthday,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
21 ,年齢歳,age_year,NUMBER,3,,,,,,,,,,,,,,,,,,○,○,,,○,○
22 ,年齢月,age_month,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
23 ,ABO血液型,blood_abo,VARCHAR2,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
24 ,Rh血液型,blood_rh,VARCHAR2,1,,,,,,,,,,,,,,,,,,○,○,,,○,○
25 ,疾患名,sikkan_mei,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
26 ,病期,byoki,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
27 ,発症時期年,hassyo_year,NUMBER,4,,,,,,,,,,,,,,,,,,○,○,,,○,○
28 ,発症時期月,hassyo_month,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
29 ,家族歴,kazoku_reki,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
30 ,既往歴,kio_reki,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
31 ,合併症,gappei_syo,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
32 ,治療経過,tiryo_keika,VARCHAR2,1024,,,,,,,,,,,,,,,,,,○,○,,,○,○
33 ,血縁者ドナー,ketuensya_dona,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
34 ,骨髄バンクドナー,kotuzui_dona,NUMBER,2,,,,,,,,,,,,,,,,,,○,○,,,○,○
35 ,骨髄バンクドナー人数,kotuzui_dona_num,NUMBER,4,,,,,,,,,,,,,,,,,,○,○,,,○,○
36 ,移植予定日,trans_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
37 ,提供予定日,teikyo_date,DATE,,,,,,,,,,,,,,,,,,,○,○,,,○,○
38 ,移植担当医師,isyoku_isi,VARCHAR2,36,,,,,,,,,,,,,,,,,,○,○,,,○,○
39 ,施設名,sisetu_mei,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
40 ,診療科名,sinryoka_mei,VARCHAR2,100,,,,,,,,,,,,,,,,,,○,○,,,○,○
41 ,郵便番号,zip_code,VARCHAR2,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
42 ,住所,address,VARCHAR2,160,,,,,,,,,,,,,,,,,,○,○,,,○,○
43 ,電話番号,tel_num,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
44 ,FAX番号,fax_num,VARCHAR2,16,,,,,,,,,,,,,,,,,,○,○,,,○,○
45 ,E-Mail,e_mail,VARCHAR2,128,,,,,,,,,,,,,,,,,,○,○,,,○,○
46 ,HLA-A(1),hla_a1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
47 ,HLA-A(2),hla_a2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
48 ,HLA-B(1),hla_b1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
49 ,HLA-B(2),hla_b2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
50 ,HLA-Cw(1),hla_cw1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
51 ,HLA-Cw(2),hla_cw2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
52 ,HLA-DR(1),hla_dr1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
53 ,HLA-DR(2),hla_dr2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
54 ,A(1),a_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
55 ,A(2),a_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
56 ,B(1),b_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
57 ,B(2),b_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
58 ,C(1),cw_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
59 ,C(2),cw_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
60 ,DRB1(1),drb1_1,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
61 ,DRB1(2),drb1_2,NUMBER,8,,,,,,,,,,,,,,,,,,○,○,,,○,○
62 ,施設コード,hosp_code,VARCHAR2,20,,,,,,,,,,,,,,,,,,○,○,,,○,○
